code,country_code,subdivision_name_type,subdivision_name
-99-X02~,-1,name_it_rnaturalearth,Clipperton
-99-X02~,-1,name_tr_rnaturalearth,Clipperton Adasi
-99-X02~,-1,name_de_rnaturalearth_cleaned,Clipperton Insel
-99-X02~,-1,name_rnaturalearth,Clipperton Island
-99-X02~,-1,name_hu_rnaturalearth_cleaned,Clipperton sziget
-99-X02~,-1,name_de_rnaturalearth,Clipperton-Insel
-99-X02~,-1,name_hu_rnaturalearth,Clipperton-sziget
-99-X02~,-1,name_sv_rnaturalearth,Clippertonön
-99-X02~,-1,name_fr_rnaturalearth,île Clipperton
-99-X02~,-1,name_pt_rnaturalearth,Ilha de Clipperton
-99-X02~,-1,name_es_rnaturalearth,Isla Clipperton
-99-X02~,-1,name_id_rnaturalearth,Pulau Clipperton
-99-X02~,-1,name_pl_rnaturalearth,Wyspa Clippertona
-99-X03~,-1,name_rnaturalearth,Coral Sea Islands
-99-X04~,-1,woe_name_rnaturalearth,Cyprus TRNC
-99-X04~,-1,name_rnaturalearth,Northern Cyprus
-99-X05~,-1,name_fr_rnaturalearth,Baïkonour
-99-X05~,-1,name_de_rnaturalearth,Baikonur
-99-X05~,-1,name_nl_rnaturalearth,Bajkonoer
-99-X05~,-1,name_hu_rnaturalearth,Bajkonur
-99-X05~,-1,name_id_rnaturalearth,Baykonur
-99-X05~,-1,name_rnaturalearth,Baykonur lease in Qyzylorda
-99-X05~,-1,gns_name_rnaturalearth,Baykonyr
-99-X05~,-1,gns_name_rnaturalearth,"Baykonyr, Gorod"
-99-X05~,-1,gn_name_rnaturalearth,Bayqongyr Qalasy
-99-X05~,-1,name_it_rnaturalearth,Bayqoñyr
-99-X05~,-1,gns_name_rnaturalearth,Gorod Baykonyr
-99-X06~,-1,name_rnaturalearth,Kashmir
-99-X08~,-1,name_rnaturalearth,Spratly Islands
-99-X11~,-1,name_rnaturalearth,Somaliland
-99-X13~,-1,name_rnaturalearth,Guantanamo Bay USNB
-99-X14~,-1,name_tr_rnaturalearth,Christmas Adasi
-99-X14~,-1,name_rnaturalearth,Christmas Island
-99-X14~,-1,name_nl_rnaturalearth,Christmaseiland
-99-X14~,-1,name_fr_rnaturalearth,île Christmas
-99-X14~,-1,name_pt_rnaturalearth,Ilha Christmas
-99-X14~,-1,name_es_rnaturalearth,Isla de Navidad
-99-X14~,-1,name_it_rnaturalearth,Isola di Natale
-99-X14~,-1,name_sv_rnaturalearth,Julön
-99-X14~,-1,name_hu_rnaturalearth_cleaned,Karácsony sziget
-99-X14~,-1,name_hu_rnaturalearth,Karácsony-sziget
-99-X14~,-1,name_id_rnaturalearth,Pulau Natal
-99-X14~,-1,name_de_rnaturalearth,Weihnachtsinsel
-99-X14~,-1,name_pl_rnaturalearth,Wyspa Bozego Narodzenia
-99-X15~,-1,name_en_rnaturalearth,Cocos
-99-X15~,-1,name_rnaturalearth,Cocos (Keeling) Islands
